year,state,policy_change,description,policy_type,direction,intensity,sector,bill_id,level
1990,United States,Reauthorize appropriations to provide for and improve the drug treatment wait...,Reauthorize appropriations to provide for and improve the drug treatment waiting period reduction grant program under the Public Health Servide Act.,healthcare,expansionary,high,households,policy_event_1,federal
1990,United States,Amend the Hazardous Materials Transportation Act to authorize appropriations...,Amend the Hazardous Materials Transportation Act to authorize appropriations for FY90-FY92.,other,expansionary,high,mixed,policy_event_2,federal
1990,United States,"Make appropriations for the Depts. of Labor, HHS, Education, and related agen...","Make appropriations for the Depts. of Labor, HHS, Education, and related agencies for FY91.",spending,expansionary,high,business,policy_event_3,federal
1991,United States,Authorize appropriations for the Patent and Trademark Office in the Commerce...,Authorize appropriations for the Patent and Trademark Office in the Commerce Dept. for FY92.,regulation,expansionary,high,business,policy_event_4,federal
1991,United States,"Make appropriations for the Departments of Labor, HHS, and Education, and rel...","Make appropriations for the Departments of Labor, HHS, and Education, and related agencies for FY92.",spending,expansionary,high,business,policy_event_5,federal
1992,United States,"Provide for appropriations for HHS, Labor, and Education, and related agencie...","Provide for appropriations for HHS, Labor, and Education, and related agencies for FY93.",spending,expansionary,high,business,policy_event_6,federal
1993,United States,"Make appropriations for the Departments of Labor, HHS, and Education, and rel...","Make appropriations for the Departments of Labor, HHS, and Education, and related agencies for FY ending Sept. 30, 1994.",spending,expansionary,high,business,policy_event_7,federal
1994,United States,Amend the Hazardous Materials Transportation Act to authorize appropriations...,"Amend the Hazardous Materials Transportation Act to authorize appropriations for fiscal 1994, 1995, 1996, 1997, and for other purposes.",other,expansionary,high,mixed,policy_event_8,federal
1994,United States,Authorize appropriations for the Patents and Trademark Office in the Departme...,Authorize appropriations for the Patents and Trademark Office in the Department of Commerce for fiscal 1994.,regulation,expansionary,high,business,policy_event_9,federal
1994,United States,Amend the Federal Trade Commission Act to extend the authorization of appropr...,"Amend the Federal Trade Commission Act to extend the authorization of appropriations, and for other purposes.",trade,expansionary,high,business,policy_event_10,federal
1994,United States,"Make appropriations for the Depts of Labor, Health and Human Services, and Ed...","Make appropriations for the Depts of Labor, Health and Human Services, and Education, and related agencies, for the FY ending Sept 30, 1995, and for other purposes.",spending,expansionary,high,business,policy_event_11,federal
1996,United States,To amend the Federal Trade Commission Act to authorize appropriations for the...,To amend the Federal Trade Commission Act to authorize appropriations for the Federal Trade Commission.,trade,expansionary,high,business,policy_event_12,federal
1997,United States,"Make appropriations for departments of Labor, Health and Human Services, and...","Make appropriations for departments of Labor, Health and Human Services, and Education, and related agencies for fiscal year ending Sept. 30, 1998.",spending,expansionary,high,business,policy_event_13,federal
2000,United States,"Promote the development of the commercial space transportation industry, and...","Promote the development of the commercial space transportation industry, and authorize appropriations for the Office of the Associate Administrator for Commercial Space Transportation and for the Offi.",other,expansionary,high,mixed,policy_event_14,federal
2000,United States,"Make appropriations for the departments of Labor, Health and Human Services,...","Make appropriations for the departments of Labor, Health and Human Services, and Education and related agencies for fiscal 2001.",spending,expansionary,high,business,policy_event_15,federal
2002,United States,"Making appropriations for the Departments of Labor, Health and Human Services...","Making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2002, and for other purposes.",spending,expansionary,high,business,policy_event_16,federal
2005,United States,"Make appropriations for Agriculture, Rural Development, Food and Drug Adminis...","Make appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for fiscal year 2006.",other,expansionary,high,mixed,policy_event_17,federal
